rsi_handle,display,rank,roles,discord_nickname,discord_match_typ,discord_match_prozent
Mephiston213,Mephiston213,Diamant,,,,
Mesmoo,Mesmoo,Diamant,,,,
MFGA,Orca,Diamant,,,,
MicBD,MicBD,Diamant,,,,
Micha78,dermicha78,Diamant,,,,
Mieetuu,Mieetuu,Diamant,,,,
Mietre,Mietre,Diamant,,,,
MikeDD,MikeDD,Diamant,,,,
Mingsing,Mingsing,Diamant,,,,
Mirco,Mirco,Diamant,,,,
MisterMax5_0,MisterMax5_0,Diamant,,,,
mo_yaxya,mo_yaxya,Diamant,,,,
MoonCowboy,MoonCowboy,Diamant,,,,
Morgau,Morgau,Diamant,,,,
Morgon,MOH,Diamant,,,,
Mosvani,Mosvani,Diamant,,,,
Mowlsten,Mowlsten,Diamant,,,,
Mr-Muck,Muck,Diamant,,,,
Mr_Wasch,Wasch,Diamant,,,,
MrBarbiturate,Mr. Barbiturate,Diamant,,,,
MrBrille15,MrBrille15,Diamant,,,,
MrBuchweber,MrBuchweber,Diamant,,,,
MrCheese69,MrCheese,Diamant,,,,
MrMetasploit,MrMetasploit,Diamant,,,,
MrPining,MrPining,Diamant,,,,
MrRabbit85,MrRabbit85,Diamant,,,,
Ms_249,ms_249,Diamant,,,,
MSAlex,MSAlex,Diamant,,,,
MuchoTwoTwo,Lectorus,Diamant,,,,
MuGGeL,RaKKi,Diamant,,,,
MunitionMueller,MunitionMueller,Diamant,,,,
Na-iv,Na-iv,Diamant,,,,
naitsabes007,sebi007,Diamant,,,,
Nathan-Ex,Nathan E.,Diamant,,,,
Nathan_Bull,Nathan_Bull,Diamant,,,,
nediar,Nediar,Diamant,,,,
Neko-Neko,NekoNeko,Diamant,,,,
Nekses,Killingtree,Diamant,,,,
neovision,Neovision,Diamant,,,,
Nephzul,Nephzul,Diamant,,,,
Neppuu,Neppuu,Diamant,,,,
nerone203,nerone203,Diamant,,,,
Net-Zombie,Net-Zombie,Diamant,,,,
Nheelz,Nheelz,Diamant,,,,
Niedertracht,Niedertracht,Diamant,,,,
Nikolas_Wemerth,[DMNT]  Nikolas Wemerth,Diamant,,,,
NoMad9199,NoMad9199,Diamant,,,,
Nominor1,Nominor1,Diamant,,,,
Noobi,Das_Noobi,Diamant,,,,
NopiSoul,Nopi Soul,Diamant,,,,
Nordlicht,The Joe,Diamant,,,,
norelem,norelem,Diamant,,,,
Noteur,Noteur,Diamant,,,,
Nouramon,Nouramon Alvestrasza,Diamant,,,,
nphil,HydroPhil,Diamant,,,,
Nuky,Thermonuclearbunny,Diamant,,,,
Nyma,Henry,Diamant,,,,
Nytrion,Nytrion,Diamant,,,,
Nyxus,Nyxus Ironclad,Diamant,,,,
OCSkm666,O.C. Skm,Diamant,,,,
Odogko,Omorokko,Diamant,,,,
Ohio1337,Ohio1337,Diamant,,,,
Olopax,Olo,Diamant,,,,
olsyju,olsyju,Diamant,,,,
OmegaPHA,OmegaPHA,Diamant,,,,
oOMRLOo,oOMRLOo,Diamant,,,,
Oscar_Monroe,Oscar_Monroe,Diamant,,,,
Osiris0,Osiris0,Diamant,,,,
OxaMcFly,Oxa McFly,Diamant,,,,
P4Q6-X,P4Q6-X,Diamant,,,,
p4t5h0t,p4t5h0t,Diamant,,,,
PaddyDeRossi,PaddyDeRossi,Diamant,,,,
Painkiller-GER,JensBerlinski-IpsSFgwm,Diamant,,,,
Palamedes69,Pala69,Diamant,,,,
Papercut78,Papercut78,Diamant,,,,
Par1s1,Par1s1,Diamant,,,,
Pathogenese,Pathogenese,Diamant,,,,
PeanutFlip,PeanutFlip,Diamant,,,,
Pedan,Pedan,Diamant,,,,
PekkaPtok,Pekka Ptok,Diamant,,,,
Peloquin,PJ,Diamant,,,,
Perpexes,Perpexes,Diamant,,,,
Pfandpirat,Pfandpirat,Diamant,,,,
PhantomZ97,PhantomZ97,Diamant,,,,
Phantox_44,Phantox_44,Diamant,,,,
PhillipSaidi,Phillip1108,Diamant,,,,
pitlorz,guy with hat,Diamant,,,,
pixelknipser,pixelknipser,Diamant,,,,
PlanetSon,PlanetSon,Diamant,,,,
PLX,PLX,Diamant,,,,
PNSHR,PUNISHER,Diamant,,,,
PocketPony,PocketPony,Diamant,,,,
Poftie,Poftie,Diamant,,,,
Pommeswerfer,Pommeswerfer,Diamant,,,,
poperzenp3ter,poperzenp3ter,Diamant,,,,
porkius,Porkius,Diamant,,,,
