rsi_handle;display;rank;roles;discord_nickname_manual;discord_nickname_suggested;match_prozent;zertifiziert
Manuedeberry;Manuedeberry;Diamant;;;manudeberry;96%;
Marc_O_Polo;Marc_O_Polo;Diamant;;;;;
Marcel1981;Marcel1981;Diamant;;;Marcel;75%;
Marcnesium;Marcnesium;Diamant;;;Marcnesium;100%;
Marvgod;Marvgod;Diamant;;;;;
Maserati-Heinz;Maserati-Heinz;Diamant;;;Maserati Heinz;93%;
masterluke78;masterluke78;Diamant;;;;;
Matsonwe;Matsonwe;Diamant;;;;;
MaximStierlitz;Maxim Stierlitz;Diamant;;;;;
Mazukaze;Mazukaze;Diamant;;;;;
mc3scher;mc3scher;Diamant;;;;;
MCCD326;MCCD326;Diamant;;;;;
McD57765;McD57765;Diamant;;;McD57765;100%;
mcfirefly;mcfirefly;Diamant;;;McFly;71%;
McKlappStuhl;McKlappStuhl;Diamant;;;;;
McMetrik;McMetrik;Diamant;;;;;
Mendo79;Mendo79;Diamant;;;Mendo79;100%;
Mephiston213;Mephiston213;Diamant;;;;;
Mesmoo;Mesmoo;Diamant;;;;;
MFGA;Orca;Diamant;;;;;
MicBD;MicBD;Diamant;;;MicBD;100%;
Micha78;dermicha78;Diamant;;;;;
Mieetuu;Mieetuu;Diamant;;;Mieetuu;100%;
Mietre;Mietre;Diamant;;;Mietre;100%;
MikeDD;MikeDD;Diamant;;;;;
Mingsing;Mingsing;Diamant;;;mingsing;100%;
Mirco;Mirco;Diamant;;;;;
MisterMax5_0;MisterMax5_0;Diamant;;;mistermax5.0;92%;
mo_yaxya;mo_yaxya;Diamant;;;;;
MoonCowboy;MoonCowboy;Diamant;;;;;
Morgau;Morgau;Diamant;;;;;
Morgon;MOH;Diamant;;;;;
Mosvani;Mosvani;Diamant;;;;;
Mowlsten;Mowlsten;Diamant;;;;;
Mr-Muck;Muck;Diamant;;;;;
MrBarbiturate;Mr. Barbiturate;Diamant;;;;;
MrBrille15;MrBrille15;Diamant;;;;;
MrBuchweber;MrBuchweber;Diamant;;;;;
MrCheese69;MrCheese;Diamant;;;MrCheese69;100%;
MrMetasploit;MrMetasploit;Diamant;;;;;
MrPining;MrPining;Diamant;;;;;
Ms_249;ms_249;Diamant;;;;;
MuchoTwoTwo;Lectorus;Diamant;;;leTreu;71%;
MuGGeL;RaKKi;Diamant;;;;;
MunitionMueller;MunitionMueller;Diamant;;;MunitionMueller;100%;
Na-iv;Na-iv;Diamant;;;;;
naitsabes007;sebi007;Diamant;;;;;
Nathan-Ex;Nathan E.;Diamant;;;;;
Nathan_Bull;Nathan_Bull;Diamant;;;;;
nediar;Nediar;Diamant;;;;;
Neko-Neko;NekoNeko;Diamant;;;;;
Nekses;Killingtree;Diamant;;;;;
neovision;Neovision;Diamant;;;;;
Nephzul;Nephzul;Diamant;;;Nephzul;100%;
Neppuu;Neppuu;Diamant;;;;;
nerone203;nerone203;Diamant;;;;;
Net-Zombie;Net-Zombie;Diamant;;;Netzombie;95%;
Nheelz;Nheelz;Diamant;;;Nheelz;100%;
Niedertracht;Niedertracht;Diamant;;;;;
NoMad9199;NoMad9199;Diamant;;;NoMad91;88%;
Nominor1;Nominor1;Diamant;;;;;
NopiSoul;Nopi Soul;Diamant;;;;;
norelem;norelem;Diamant;;;;;
Nouramon;Nouramon Alvestrasza;Diamant;;;Nouramon;100%;
nphil;HydroPhil;Diamant;;;;;
Nuky;Thermonuclearbunny;Diamant;;;;;
Nytrion;Nytrion;Diamant;;;xantrin;71%;
Nyxus;Nyxus Ironclad;Diamant;;;;;
Odogko;Omorokko;Diamant;;;Odogkae;77%;
Ohio1337;Ohio1337;Diamant;;;;;
OmegaPHA;OmegaPHA;Diamant;;;;;
oOMRLOo;oOMRLOo;Diamant;;;;;
Oscar_Monroe;Oscar_Monroe;Diamant;;;Oscar Monroe;92%;
Osiris0;Osiris0;Diamant;;;;;
OxaMcFly;Oxa McFly;Diamant;;;OxaMcFly;100%;
P4Q6-X;P4Q6-X;Diamant;;;;;
p4t5h0t;p4t5h0t;Diamant;;;;;
Painkiller-GER;JensBerlinski-IpsSFgwm;Diamant;;;;;
Palamedes69;Pala69;Diamant;;;;;
Papercut78;Papercut78;Diamant;;;;;
Par1s1;Par1s1;Diamant;;;;;
Pathogenese;Pathogenese;Diamant;;;Pathogenese ツ;92%;
PeanutFlip;PeanutFlip;Diamant;;;;;
Pedan;Pedan;Diamant;;;;;
PekkaPtok;Pekka Ptok;Diamant;;;;;
Perpexes;Perpexes;Diamant;;;Perpexes;100%;
Pfandpirat;Pfandpirat;Diamant;;;;;
Phantox_44;Phantox_44;Diamant;;;;;
PhillipSaidi;Phillip1108;Diamant;;;;;
pitlorz;guy with hat;Diamant;;;;;
pixelknipser;pixelknipser;Diamant;;;;;
PlanetSon;PlanetSon;Diamant;;;PlanetSon;100%;
PLX;PLX;Diamant;;;;;
PNSHR;PUNISHER;Diamant;;;;;
PocketPony;PocketPony;Diamant;;;;;
Poftie;Poftie;Diamant;;;;;
Pommeswerfer;Pommeswerfer;Diamant;;;;;
porkius;Porkius;Diamant;;;;;
prankie;prankie the noob;Diamant;;;;;
PRreal;PRreal;Diamant;;;;;
Psychomania;Psychomania;Diamant;;;;;
PTUmuckl;PTUmuckl;Diamant;;;;;
